# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20230301-20230531
# ----------------------------------------

Індекс дня,Перегляди сторінок
01.03.23,9 257
02.03.23,10 602
03.03.23,9 541
04.03.23,6 087
05.03.23,5 472
06.03.23,8 962
07.03.23,11 096
08.03.23,10 138
09.03.23,10 704
10.03.23,8 820
11.03.23,5 189
12.03.23,4 959
13.03.23,10 816
14.03.23,10 781
15.03.23,9 638
16.03.23,10 341
17.03.23,7 844
18.03.23,4 615
19.03.23,5 519
20.03.23,10 128
21.03.23,10 576
22.03.23,10 034
23.03.23,9 919
24.03.23,7 913
25.03.23,5 515
26.03.23,5 434
27.03.23,10 020
28.03.23,9 762
29.03.23,9 089
30.03.23,10 150
31.03.23,8 170
01.04.23,4 845
02.04.23,4 887
03.04.23,9 161
04.04.23,10 240
05.04.23,14 374
06.04.23,11 545
07.04.23,10 000
08.04.23,7 192
09.04.23,7 350
10.04.23,13 294
11.04.23,15 950
12.04.23,13 974
13.04.23,11 805
14.04.23,11 067
15.04.23,6 840
16.04.23,6 080
17.04.23,10 389
18.04.23,13 072
19.04.23,10 842
20.04.23,11 671
21.04.23,11 755
22.04.23,6 512
23.04.23,8 204
24.04.23,11 950
25.04.23,11 904
26.04.23,12 029
27.04.23,11 136
28.04.23,9 816
29.04.23,6 534
30.04.23,5 904
01.05.23,10 013
02.05.23,12 875
03.05.23,11 421
04.05.23,11 427
05.05.23,10 115
06.05.23,6 477
07.05.23,6 786
08.05.23,13 620
09.05.23,13 225
10.05.23,15 178
11.05.23,14 196
12.05.23,10 626
13.05.23,6 489
14.05.23,6 890
15.05.23,11 977
16.05.23,10 941
17.05.23,11 244
18.05.23,12 205
19.05.23,10 235
20.05.23,5 744
21.05.23,6 165
22.05.23,11 843
23.05.23,12 991
24.05.23,11 876
25.05.23,10 896
26.05.23,9 369
27.05.23,5 465
28.05.23,5 359
29.05.23,6 468
30.05.23,11 153
31.05.23,11 412
,882 094
