# ----------------------------------------
# 1 Master View
# Огляд аудиторії
# 20230301-20230531
# ----------------------------------------

Індекс дня,Користувачі
01.03.23,2 132
02.03.23,2 117
03.03.23,2 005
04.03.23,1 361
05.03.23,1 301
06.03.23,2 202
07.03.23,2 174
08.03.23,2 146
09.03.23,2 071
10.03.23,1 991
11.03.23,1 389
12.03.23,1 192
13.03.23,2 224
14.03.23,2 313
15.03.23,2 107
16.03.23,2 117
17.03.23,1 789
18.03.23,1 108
19.03.23,1 242
20.03.23,2 122
21.03.23,2 408
22.03.23,2 261
23.03.23,2 268
24.03.23,1 829
25.03.23,1 145
26.03.23,1 256
27.03.23,2 173
28.03.23,2 194
29.03.23,2 093
30.03.23,2 200
31.03.23,1 778
01.04.23,1 067
02.04.23,1 127
03.04.23,2 011
04.04.23,2 368
05.04.23,3 922
06.04.23,2 770
07.04.23,2 405
08.04.23,2 045
09.04.23,2 168
10.04.23,3 372
11.04.23,3 073
12.04.23,3 290
13.04.23,2 606
14.04.23,2 790
15.04.23,1 985
16.04.23,1 487
17.04.23,2 274
18.04.23,2 944
19.04.23,2 439
20.04.23,2 629
21.04.23,2 879
22.04.23,1 522
23.04.23,2 146
24.04.23,2 869
25.04.23,2 998
26.04.23,2 720
27.04.23,2 558
28.04.23,2 090
29.04.23,1 449
30.04.23,1 452
01.05.23,2 219
02.05.23,2 845
03.05.23,2 504
04.05.23,2 546
05.05.23,2 395
06.05.23,1 841
07.05.23,1 860
08.05.23,3 180
09.05.23,3 057
10.05.23,3 313
11.05.23,3 106
12.05.23,2 350
13.05.23,1 445
14.05.23,1 643
15.05.23,2 596
16.05.23,2 428
17.05.23,2 479
18.05.23,2 602
19.05.23,2 142
20.05.23,1 343
21.05.23,1 524
22.05.23,2 767
23.05.23,3 290
24.05.23,2 905
25.05.23,2 506
26.05.23,2 107
27.05.23,1 307
28.05.23,1 380
29.05.23,1 779
30.05.23,2 512
31.05.23,2 475
,202 609
